Question,Answer
ඒක සෑහෙන්න හොඳයි නේද,ඔව් අනිවාර්යයෙන්ම
එය හොඳ දෙයක්ද,නරක නැහැ
Thdf. ku කුමක් ද,"uf.a ku lu,a"
Thdf. .u කුමක් ද,"uf.a .u l=reKE.,"
Thdf. jhi කීයද,wjqre¥ 10
Thd bf.k.kak leu;so,ඔව්  leu;s
"ඔබේ mdi, කුමක් ද","l=reKE., nd,sldj"
Thd f;a îjdo,;du kE
Thd fudkdo lkak leu;s,"n;a j,g"
Tjqka wmsj .yhso,uu ys;kake
Tjqka wmsg uqK.efyhso,uu ys;kake
fudkdo òk,"ug fi,a,ï lrkak òk"
thd .=rejrfhlao,ඔව්
Thd thdj okakjo,kE uu okakE
Thd yrsu fydo flfkla,tfyuo
"Thd ,Eia;so","ඔව් uu ,Eia;s"
"Thd fpdl,Ü j,g leu;so",ඔව්  leu;s
ljqo Thdf. whshd,"Tyq finf,la"
wo f.or hkjdo,kE fyg hkjd
ඔබ නාන්නේ කීයටද,"yjia fj,d kdkjd"
ඔයා නැගිටින්නේ කුමන වේලාවට ද,Wfoau
ඔබ උදේ ආහාරය ගන්නේ කීයටද,07g ú;r
ඔබ උදේ ව්‍යායාම කරනවාද,ඔව් කරනවා
ඔබ සාමාන්‍යයෙන් දිවා ආහාරය ගන්නේ කොහේද,"mkai, ,. lfvka"
ඔබ මධ්‍යම රාත්‍රියට පෙර නින්දට යනවාද,ඔව් 
ඔබට 6 වෙනිදා ලබා ගත හැකිද,"ඔව්, සහතිකයි"
හවසට මොකද කරන්නේ,uql=;a kE
ඔබ රෑට රූපවාහිනිය නරඹනවාද,ඔව්  නරඹනවා
ඔබ රැකියාවෙන් පසු ජිම් එකට යනවද,kE uu hkakE
ඔබේ රැකියාවෙන් ඔබ වඩාත් තෘප්තිමත්ද,ඔව් මම ගොඩක් සතුටුයි
ඔබ දැන් සිටින රැකියාවෙන් ඉවත් වන්නේ ඇයි,අඩු වැටුපක් නිසා
මෙම කර්මාන්තය ගැන ඔබ දන්නේ කුමක්ද,මම කිසිම දෙයක් දන්නේ නැහැ
අපගේ සමාගම ගැන ඔබ දන්නේ කුමක්ද,එය විශාල සමාගමකි
ඔයා ගැන මට කියන්න,මම විශ්වවිද්‍යාල ශිෂ්‍යයෙක්
සිකුරාදා මට වෙලාවක් දෙන්න පුලුවන්ද,හරි මම කරන්නම්
වත්මන් උෂ්ණත්වය කුමක්ද,සෙල්සියස් 30 ක් පමණ
ඔබට මුළු සහෝදර සහෝදරියන් කී දෙනෙක් සිටීද,සහෝදරයන් 03 දෙනෙක්
ඔබ උයන්න කැමතිද,ඔව් මම කැමතියි
ඔබට කන්න බයිට් එකක් අවශ්‍යද,අවශ්ය නැහැ
කරුණාකර මට ලුණු ලබා දිය හැකිද,හරි
කරුණාකර මට ඔබේ පිඟාන දෙන්න පුළුවන්ද,"නැහැ, මම සෝදා ගන්නම්"
 කරුණාකර මට පාන් දෙන්න පුළුවන්ද,ඔව්
ඔබේ වීරයා කවුද,මගේ තාත්තා
"ඔබට ඕනෑම තැනක ජීවත් විය හැකි නම්, එය කොහේද",මගේ නිවස
ඔබේ ලොකුම බිය කුමක්ද,ලේ වලට
ඔබේ ප්රියතම පවුලේ නිවාඩුව කුමක්ද,ආච්චිගේ ගෙදර
ඔබට ඇත්තටම තරහ යන්නේ කුමක්ද,බොරු කියනවාට
වෙහෙස මහන්සි වී වැඩ කිරීමට ඔබව පොලඹවන්නේ කුමක්ද,මගේ සිහින
ඔබ කියවීමට කැමතිම පොත කුමක්ද,මඩොල්දූව
ඔබ වැඩිපුරම සිනාසීමට හේතුව කුමක්ද,ඕනෑම විහිළු
ඔබ අවසන් වරට ගිය චිත්‍රපටය කුමක්ද,හැරී පොටර්
ඔබ සිතුවේ කුමක්ද,කිසිවක් නැත
ඔබ කුඩා කාලයේ ඔබට කුමක් වීමට අවශ්‍යද,දොස්තර කෙනෙක්
ඔබේ දරුවා වැඩෙන විට ඔහු/ඇය කුමක් වීමට කැමතිද,ගුරුවරයෙක්
නැරඹීමට සහ ක්‍රීඩා කිරීමට ඔබගේ ප්‍රියතම ක්‍රීඩාව හෝ ක්‍රීඩාව කුමක්ද,ක්රිකට්
ඔබ බයිසිකලයක් පදින්න හෝ මෝටර් රථයක් පැදවීමට කැමතිද,වාහනයක් පදවන්න
  ඔබ මෝටර් රථයේ ගුවන් විදුලි මධ්‍යස්ථානවලට සවන් දෙනවාද,ඔව්
"ඔබ වැඩිපුර කැමති කුමක්ද: පිඟන් සේදීම, තණකොළ කැපීම, නාන කාමරය පිරිසිදු කිරීම  ",පිඟන් සේදීමට
ඔබේ ප්‍රියතම කතුවරයා කවුද,මාර්ටින් වික්‍රමසිංහ මහතා
ලක්ෂයකට බිංදු කීයක් තිබේද,5
දේදුන්නක ඇති වර්ණ මොනවාද,"වයලට්, ඉන්ඩිගෝ, නිල්, කොළ, කහ, තැඹිලි, රතු"
කැන්ගරුවන්ගේ නිවහන කුමක්ද,ඕස්ට්රේලියාව
කැලේ රජු ලෙස හඳුන්වන්නේ කුමන සත්වයාද,සිංහයා
මොනාලිසා සිතුවම් කළේ කවුද,ලියනාඩෝ ඩා වින්චි
දුරකථනය සොයාගත්තේ කවුද,ඇලෙක්සැන්ඩර් ග්රැහැම් බෙල්
ප්‍රති-දක්ෂිණාවර්තව ඇත්තේ කුමන මාර්ගයද,වමේ
ඇයි ඔබ ඉංග්‍රීසි ඉගෙන ගන්නේ,මම එක්සත් ජනපදයට සංක්‍රමණය වීමට කැමති නිසා
ඔබේ නිදහස් කාලය තුළ ඔබ කරන්නේ කුමක්ද,මම පොත් කියවීමට සහ නිවසේ විවේකීව සිටීමට කැමතියි
   කාලගුණය කොහොමද,උණුසුම්
වේලාව කීය ද,වෙලාව දහයයි
ඔයාට මොකක් හරි උදව්වක් ඕනේද,"ඔව්, මට කියන්න පුළුවන්ද මේක කීයද කියලා"
එය කෙරෙන්නේ කොහොම ද,මට ඒක කියන්න බෑ
ඔයාට දැනේන්නේ කොහොම ද,ටිකක් මානසිකව වැටිලා
ඔයාගේ දවස කොහොම ද ගෙවුණේ,කාර්යබහුල
ඔබ චිත්‍රපටයට කැමතිද,එය අතිවිශිෂ්ට විය
උපන්දින සාදය කොහොමද,එය හොඳ දෙයක් විය
ඔබ මෑතක සිට කළේ කුමක්ද,මම ගොඩක් වැඩ කරලා තියෙනවා
කාරණය කුමක් ද,මට එතරම් හොඳක් දැනෙන්නේ නැත
ඔබ බිමට කැමති මොනවාද,"මට කිසිවක් නැත, ස්තූතියි"
ඔබ ඇනවුම් කරන්න ලෑස්තිද,"ඔව්, මම පළතුරු සලාදයක් ගන්නම්"
හැම දෙයක්ම හරිද,"ඔව්, හැම දෙයක්ම හොඳයි"
මට වෙන දෙයක් ගන්න පුලුවන්ද,ඔව්
2+2 යනු කුමක්ද,4
6 න් පසුව එන අංකය කුමක්ද,7
ඔබ චොකලට් වලට කැමතිද,නෑ  මම කැමතිනෑ 
ඔබේ හොඳම මිතුරා කවුද,ඔහු මගේ හොඳම මිතුරා ය
ඔයාට නින්ද ගියාද,ඔව්
ඔබ කිරිබත් වලට කැමතිද,නැහැ මම කැමති නැහැ
සතියේ ඔබ කැමතිම දිනය කුමක්ද,ඉරිදා
ඔබේ ප්රියතම පුද්ගලයා කවුද,මගේ අම්මා
ඔබට වඩාත්ම බිය වන්නේ කුමන සත්වයාද,මගේ පූසා
පාසැලේදී ඔබ කැමතිම විෂය කුමක්ද,විද්යාව
ඔයාට පුලුවන්ද මට ඔයාගේ පෑන දෙන්න,ඔව් මට පුළුවන්
ඔබට සුරතල් සතුන් සිටීද,ඔව් මට පූසෙක් ඉන්නවා
අපි වොලිබෝල් සෙල්ලම් කරමුද,හරි අපි සෙල්ලම් කරමු
ඔබට ලැප්ටොප් පරිගණකයක් තිබේද,නැත
ඔබ වෙනත් රටවලට කැමතිද,ඔව් මම කැමතියි
ඔබේ ප්‍රියතම ක්‍රීඩාව කුමක්ද,රගර්
ඔබට පෙම්වතියක් සිටීද,නෑ තවම නෑ
ඔයාට පෙම්වතෙක් ඉන්නව ද,ඔව්
ඔබට ඔබගේ දුරකථන අංකය ලබා දිය හැකිද,සමාවෙන්න මට බෑ
ඔයාට පුලුවන්ද මට ඔයාගේ ඇඳුම දෙන්න,සමාවෙන්න මට බෑ 
